,Service,Rating,Hires,Price,Zip Code,Price Type,Services,Type,Segments,Implied Revenue
1861,LawnStarter Lawn Care,4.0,848.0,29.0,30303,,Lawn Mower Repair,Peripheral,Home Improvement,24592.0
1862,Limitless Xpressions LLC,5.0,11.0,70.0,30303,,Lawn Mower Repair,Peripheral,Home Improvement,770.0
1863,B.K. Motor Sports,5.0,,,30303,,Lawn Mower Repair,Peripheral,Home Improvement,
1864,Infinity Scapes LLC,4.0,15.0,30.0,30303,,Lawn Mower Repair,Peripheral,Home Improvement,450.0
1865,Eco-Care,5.0,,,30303,,Lawn Mower Repair,Peripheral,Home Improvement,
1866,LJC Interiors,5.0,79.0,95.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,7505.0
1867,Zachary Luke Designs,5.0,25.0,90.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2250.0
1868,Modern Dream Designs,5.0,,,28105,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1869,Drakulic Interior Design,5.0,11.0,100.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1100.0
1870,Ball & Jacks Designs,5.0,2.0,125.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,250.0
1871,Thin Line Blinds,5.0,34.0,20.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,680.0
1872,"Cheryl Draa Interior Designs, LLC",4.5,16.0,125.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2000.0
1873,First Impression Home Staging & Design,5.0,,75.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1874,Cottonwood Interior Designs,5.0,6.0,75.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,450.0
1875,Elite Stage Presence,5.0,,60.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1876,Create In You Home Design,5.0,6.0,85.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,510.0
1877,Is it JU? Interiors,,,100.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1878,FABPAD LLC,5.0,,80.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1879,The Collected Interior,5.0,2.0,,28105,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1880,BURUCA design,4.5,22.0,65.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1430.0
1881,Interior Define,5.0,,68.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1882,LUCA CASA Interior Design Charlotte,,,,28105,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1883,Elkins + Co Interiors,5.0,,,28105,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1884,Anna Kelly Designs,2.0,,75.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1885,R Design,5.0,21.0,125.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2625.0
1886,Gracious Home Staging & Redesign LLC,5.0,2.0,100.0,28105,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,200.0
1887,Jam Restoration LLC,4.5,45.0,,48226,,General Carpentry,Peripheral,Home Improvement,
1888,Andriy Grygorovych,4.5,41.0,50.0,84111,hourly,Gutter Repair,Peripheral,Home Improvement,2050.0
1889,Craft N House LLC,5.0,106.0,,84111,,Gutter Repair,Peripheral,Home Improvement,
1890,"Bjorkmans Construction, L.L.C.",5.0,,45.0,84111,hourly,Gutter Repair,Peripheral,Home Improvement,
1891,Utah Flooring & Design,3.5,365.0,,84111,,Gutter Repair,Peripheral,Home Improvement,
1892,Black Hawk Lock & Key,5.0,99.0,75.0,84111,hourly,Gutter Repair,Peripheral,Home Improvement,7425.0
1893,Maintenance 2Day,4.5,24.0,65.0,84111,hourly,Gutter Repair,Peripheral,Home Improvement,1560.0
1894,B and R Restorations and Renovations,3.5,4.0,,84111,,Gutter Repair,Peripheral,Home Improvement,
1895,Second Growth Homes,,,,99801,,Gutter Repair,Peripheral,Home Improvement,
1896,Curated Interiors,5.0,32.0,100.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3200.0
1897,Bona Gjoni Design Company,5.0,27.0,75.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2025.0
1898,Candice Prather Interiors,4.5,19.0,150.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2850.0
1899,KT Wilder Interiors,4.5,14.0,115.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1610.0
1900,"Thereron Interiors Co., LLC.",5.0,32.0,150.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,4800.0
1901,"BB Designs & Remodeling, LLC",4.5,4.0,150.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,600.0
1902,Candidly Kim Home Services LLC,5.0,5.0,100.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,500.0
1903,Cristina Isabel Design LLC,5.0,8.0,90.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,720.0
1904,TheLuxDecor,4.5,3.0,125.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,375.0
1905,The So Burr Experience,5.0,26.0,150.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3900.0
1906,Hauzienda Studio LLC,5.0,,85.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1907,Serenity Interiors by Trenell,5.0,,99.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1908,TeaL Designs LLC,5.0,7.0,110.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,770.0
1909,BUILDM: Commercial Design/Build,5.0,5.0,180.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,900.0
1910,H4[Home],5.0,,80.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1911,The Morrow Home,5.0,,99.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1912,SJL Interiors,5.0,7.0,125.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,875.0
1913,Ziba by Design,5.0,4.0,120.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,480.0
1914,Measure Architects PLLC,5.0,26.0,90.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2340.0
1915,"Angela Scollar Designs, Decorating Den Interiors",4.5,5.0,99.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,495.0
1916,JamieLynn's Designs,4.5,26.0,,20001,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1917,Jasmine Designs,5.0,15.0,250.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3750.0
1918,Lux Design Associates,5.0,7.0,135.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,945.0
1919,B Design Life,5.0,,150.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1920,Moxie Decor,,,,20001,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1921,Purgistics,5.0,,75.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1922,RV Designs,,,102.0,20001,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1923,Shay Foreman,,,,20001,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1924,"Susan Hopkins Interior Design, LLC",,,,20001,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1925,Neatly Packaged Vibes,5.0,,,20001,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1926,Trevor Fauver,5.0,,,58501,,Lawn Mower Repair,Peripheral,Home Improvement,
1927,Bros. Lawn Care LLC,,,40.0,58501,,Lawn Mower Repair,Peripheral,Home Improvement,
1928,Eagle Bay Lawn & Landscape,5.0,,,59623,,Lawn Mower Repair,Peripheral,Home Improvement,
1929,Neka design studio,5.0,11.0,150.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1650.0
1930,C.LehmanHome,5.0,3.0,95.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,285.0
1931,Lost & Found Design Studio,5.0,,120.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1932,Megan Noelle Low - Wardrobe Consultant,5.0,85.0,125.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,10625.0
1933,DekoRati Interiors,5.0,8.0,195.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1560.0
1934,Design Capsule Studios,4.5,6.0,100.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,600.0
1935,INSPIRING SPACES | Home Decorating Within Reach,4.5,6.0,75.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,450.0
1936,Virtual Interior Design by Alyssa Beth Interiors,,2.0,80.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,160.0
1937,Greenhouse Interior Design,5.0,,110.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1938,Ramona Avenue,4.5,5.0,120.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,600.0
1939,Studio 415 Interiors,5.0,2.0,140.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,280.0
1940,Simply Style Interior Decorators,5.0,21.0,100.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2100.0
1941,Harmony Interior,,,150.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1942,An Affair With Color,5.0,24.0,125.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3000.0
1943,Clizia Design,5.0,2.0,110.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,220.0
1944,Austin Design,4.5,39.0,,95112,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1945,Santana Homes and Designs,,,100.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1946,STUDIO BANAA,5.0,22.0,120.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2640.0
1947,Shop The City,5.0,,110.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1948,Studio G and G,4.0,,104.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1949,Dina Marie Joy Interior Design,5.0,33.0,95.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3135.0
1950,LUCA CASA Interior Design Los Altos,5.0,2.0,99.0,95112,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,198.0
1951,Isreal’s Handyman Service,5.0,3.0,,67052,,Gutter Repair,Peripheral,Home Improvement,
1952,Kansas Exteriors Inc.,5.0,2.0,,67052,,Gutter Repair,Peripheral,Home Improvement,
1953,Sunshine Property Maintenance LLC,5.0,,23.0,67052,hourly,Gutter Repair,Peripheral,Home Improvement,
1954,P.O.W.E.R (Pros On Work Every Request) Construc...,5.0,84.0,,87102,,General Carpentry,Peripheral,Home Improvement,
1955,B to the E construction,5.0,,2000.0,87102,,General Carpentry,Peripheral,Home Improvement,
1956,"Spatial Harmony Color Consulting + Design, LLC",1.0,2.0,,87102,,General Carpentry,Peripheral,Home Improvement,
1957,Fix A Flat Roofing,5.0,2.0,,87102,,General Carpentry,Peripheral,Home Improvement,
1958,Blue Eye Interiors,5.0,33.0,,87102,,General Carpentry,Peripheral,Home Improvement,
1959,Dakota pittman,5.0,2.0,50.0,25301,hourly,Gutter Repair,Peripheral,Home Improvement,100.0
1960,Cash on Delivery Moving and services,5.0,4.0,175.0,25301,hourly,Gutter Repair,Peripheral,Home Improvement,700.0
1961,Above Handyman Services,5.0,5.0,65.0,25301,hourly,Gutter Repair,Peripheral,Home Improvement,325.0
1962,Get-R-Done Home Service’s,4.0,49.0,50.0,25301,hourly,Gutter Repair,Peripheral,Home Improvement,2450.0
1963,K&D Elite Property Maintenance,4.0,,,25301,,Gutter Repair,Peripheral,Home Improvement,
1964,Superior Drain Service and Home Repair,4.5,19.0,,89701,,General Carpentry,Peripheral,Home Improvement,
1965,CL Contracting,5.0,,,89701,,General Carpentry,Peripheral,Home Improvement,
1966,Dirty Werk Handyman Service LLC,5.0,101.0,,89701,,General Carpentry,Peripheral,Home Improvement,
1967,Masterfield Construction. LLC,4.5,8.0,,89701,,General Carpentry,Peripheral,Home Improvement,
1968,Loving Quarters,5.0,5.0,100.0,97301,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,500.0
1969,Black Spider,5.0,2.0,100.0,97301,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,200.0
1970,Jessica Reynaud Design,5.0,5.0,120.0,97301,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,600.0
1971,Summit Design Interiors,5.0,,165.0,97301,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1972,Laura Michelle Interiors,5.0,,,97301,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1973,AriaTouch,5.0,,225.0,97301,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1974,Claire Hickox Design,5.0,,80.0,97301,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1975,Cultivated Space,,,55.0,97301,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1976,Tailored by KD,,,125.0,97301,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1977,LUCA CASA Interior Design Portland,,,,97301,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
1978,FTK Services,5.0,41.0,,55102,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
1979,National Dusters Of The Twin Cities,4.5,1427.0,125.0,55102,,Hot Tub and Spa Repair,Peripheral,Home Improvement,178375.0
1980,M&J CLEANING COMPANY LLC,,,,55102,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
1981,Brightview Window Cleaning,4.5,292.0,,55102,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
1982,"Rebolledo's Company, LLC",4.5,16.0,,19850,,General Carpentry,Peripheral,Home Improvement,
1983,JDL home improvement,4.5,,,19850,,General Carpentry,Peripheral,Home Improvement,
1984,Seven one seven masonry,4.5,19.0,,19850,,General Carpentry,Peripheral,Home Improvement,
1985,Centaur Construction Group & Lee Smith Architects,4.0,7.0,,19850,,General Carpentry,Peripheral,Home Improvement,
1986,Luxury Bath of Delaware,4.5,,,19850,,General Carpentry,Peripheral,Home Improvement,
1987,V. Colbert Inc.,4.5,52.0,,19850,,General Carpentry,Peripheral,Home Improvement,
1988,Starchak wood works LLC,4.5,5.0,150.0,19850,,General Carpentry,Peripheral,Home Improvement,750.0
1989,Leao constrution,4.0,7.0,,19850,,General Carpentry,Peripheral,Home Improvement,
1990,Modernize KC LLC,4.0,2.0,,64105,,General Carpentry,Peripheral,Home Improvement,
1991,Radiant Remodelz,5.0,6.0,,64105,,General Carpentry,Peripheral,Home Improvement,
1992,The Shower Company,5.0,2.0,,64105,,General Carpentry,Peripheral,Home Improvement,
1993,Kerby Construction,4.5,18.0,,64105,,General Carpentry,Peripheral,Home Improvement,
1994,Five Star Bath Solutions of Kansas City,4.0,3.0,,64105,,General Carpentry,Peripheral,Home Improvement,
1995,Enviro-Dry Cleaning and Restoration,5.0,4.0,,64105,,General Carpentry,Peripheral,Home Improvement,
1996,Mark Reutzel,5.0,5.0,,64105,,General Carpentry,Peripheral,Home Improvement,
1997,"Platinum Cleaning Services, LLC",5.0,22.0,100.0,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,2200.0
1998,Armani’s Cleaning services,5.0,,80.0,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
1999,Home Maid Clean,4.0,76.0,75.0,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,5700.0
2000,Christina's Sparkling Touch,4.5,27.0,77.0,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,2079.0
2001,"Payneless Solutions Cleaning Service, LLC",4.5,11.0,77.0,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,847.0
2002,grimes professional dirt busters,4.5,,,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2003,Roy Bowman,4.0,21.0,,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2004,Marcia’s cleaning,,,,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2005,JW Services,4.5,144.0,85.0,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,12240.0
2006,Extra Pairs of Hands Cleaning Services,4.5,2.0,100.0,70802,,Hot Tub and Spa Repair,Peripheral,Home Improvement,200.0
2007,Matthew Salausa,5.0,,,96813,,General Carpentry,Peripheral,Home Improvement,
2008,Jm construction,5.0,,,96813,,General Carpentry,Peripheral,Home Improvement,
2009,Islandhomeremodelingllc,4.5,37.0,,96813,,General Carpentry,Peripheral,Home Improvement,
2010,Ross & Ross LLC,5.0,5.0,,96813,,General Carpentry,Peripheral,Home Improvement,
2011,Jonnaven Monalim,5.0,,,96813,,General Carpentry,Peripheral,Home Improvement,
2012,Shara Eppert Design,5.0,,,96813,,General Carpentry,Peripheral,Home Improvement,
2013,Trinity Exteriors LLC,5.0,13.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2014,Puckett exteriors,5.0,63.0,50.0,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,3150.0
2015,MJ Home Services,4.5,105.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2016,Completed exterior services LLC,4.5,22.0,300.0,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,6600.0
2017,Alexander Townsley,5.0,3.0,250.0,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,750.0
2018,Rick&sons Roofing llc.,5.0,3.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2019,Edwards Home Pro Services,5.0,23.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2020,Phoenix Remodeling Group,5.0,6.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2021,Fab Build Pro,4.5,6.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2022,Precisely Right LLC,4.5,43.0,50.0,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,2150.0
2023,Home Tech LLC,3.5,5.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2024,Smith Home Improvement,5.0,26.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2025,CJ's Construction LLC,5.0,,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2026,PM Pace Company,4.0,19.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2027,Frank's Roofing,4.5,69.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2028,DMW,5.0,,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2029,Cox Roofing,3.0,20.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2030,Marylands Best Remodeling,4.5,,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2031,The Home Doctor,4.0,91.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2032,Roofing with Integrity,4.5,53.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2033,DMD Commercial Roofing,4.5,6.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2034,American Custom Contractors,5.0,,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2035,DMV Exteriors,,,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2036,Shanco Companies,,,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2037,Four Twelve Roofing,5.0,2.0,,21202,,Roof Installation or Replacement,Peripheral,Home Improvement,
2038,Chic combs,5.0,6.0,,85001,,Gutter Repair,Peripheral,Home Improvement,
2039,Timothy rees,5.0,18.0,40.0,85001,hourly,Gutter Repair,Peripheral,Home Improvement,720.0
2040,D.C inc,4.5,44.0,,85001,,Gutter Repair,Peripheral,Home Improvement,
2041,Furniture assembly by steve,5.0,30.0,50.0,85001,hourly,Gutter Repair,Peripheral,Home Improvement,1500.0
2042,LawnStarter Lawn Care,4.0,522.0,29.0,21202,,Lawn Mower Repair,Peripheral,Home Improvement,15138.0
2043,American Lawn and Tree Specialists Inc.,5.0,30.0,,21202,,Lawn Mower Repair,Peripheral,Home Improvement,
2044,Reliable Landscaping & Hauling Service,4.5,23.0,35.0,21202,,Lawn Mower Repair,Peripheral,Home Improvement,805.0
2045,LJC Interiors,5.0,79.0,95.0,29217,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,7505.0
2046,"Ellen Russell Design, LLC",5.0,7.0,72.0,29217,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,504.0
2047,Create In You Home Design,5.0,6.0,85.0,29217,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,510.0
2048,BURUCA design,4.5,22.0,65.0,29217,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1430.0
2049,The Warehouse,,,,29217,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2050,MopWipe,5.0,37.0,99.0,33132,,Hot Tub and Spa Repair,Peripheral,Home Improvement,3663.0
2051,DM Classic Touch Cleaning & Janitorial Service,4.5,32.0,130.0,33132,,Hot Tub and Spa Repair,Peripheral,Home Improvement,4160.0
2052,Organized by MG - OMG,4.0,3.0,,33132,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2053,Veruzca Cleaning Corp,5.0,,55.0,33132,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2054,DSM SERVICES,4.5,22.0,95.0,33132,,Hot Tub and Spa Repair,Peripheral,Home Improvement,2090.0
2055,Jannservices,4.5,144.0,87.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,12528.0
2056,GiGi's Cleaning Service,5.0,7.0,110.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,770.0
2057,Maid In Bliss,4.5,20.0,100.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,2000.0
2058,Neat Freaks Houston,5.0,3.0,100.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,300.0
2059,Oracle Cleaning Services,4.5,78.0,92.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,7176.0
2060,Anto’s Cleaning Services,4.5,83.0,135.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,11205.0
2061,"Professional cleaning "" E JCLEANING """,4.5,142.0,,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2062,D'Light Cleaning Svs,5.0,,,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2063,Walkers Angels Cleaning Service,5.0,72.0,80.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,5760.0
2064,E&D Pressure Washing & Housekeeping Services,5.0,,75.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2065,Teressa's Helping Hands Services,,3.0,125.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,375.0
2066,Rosemoney,5.0,,95.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2067,TX Pro Cleaners,5.0,,120.0,77002,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
2068,Reyes Gardening services,4.5,78.0,,94108,,Lawn Mower Repair,Peripheral,Home Improvement,
2069,Appliance Repair & Cozy Home Services,5.0,819.0,80.0,33602,hourly,Gutter Repair,Peripheral,Home Improvement,65520.0
2070,TruBlue of Tampa,5.0,20.0,100.0,33602,hourly,Gutter Repair,Peripheral,Home Improvement,2000.0
2071,A Handyman Company,5.0,105.0,,33602,,Gutter Repair,Peripheral,Home Improvement,
2072,Rob The Brit Home Theaters Inc,5.0,543.0,,33602,,Gutter Repair,Peripheral,Home Improvement,
2073,NGA,5.0,26.0,,33602,,Gutter Repair,Peripheral,Home Improvement,
2074,construction roofing drywall painting and more,5.0,,,62701,,Roof Installation or Replacement,Peripheral,Home Improvement,
2075,Mark Reutzel,5.0,5.0,40.0,66603,hourly,Gutter Repair,Peripheral,Home Improvement,200.0
2076,Dwelling Design Studio,5.0,11.0,,87501,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2077,Clean and Simple Studios,5.0,35.0,90.0,87501,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3150.0
2078,Edy Keeler Interiors,5.0,5.0,,87501,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2079,"Spatial Harmony Color Consulting + Design, LLC",1.0,2.0,125.0,87501,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,250.0
2080,LUCA CASA Interior Design Albuquerque,,,,87501,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2081,Design Redefined,5.0,37.0,85.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3145.0
2082,Susan Rains Desgin,4.5,9.0,125.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1125.0
2083,Abode Above Interiors,5.0,,90.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2084,Alyaa_ interior_design,5.0,2.0,75.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,150.0
2085,Hauzienda Studio LLC,5.0,,85.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2086,"Thereron Interiors Co., LLC.",5.0,32.0,150.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,4800.0
2087,Soudi Amini Design,5.0,12.0,125.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1500.0
2088,Savvy Spaces by Arti LLC,5.0,5.0,60.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,300.0
2089,Home By Taylor LLC,4.5,6.0,120.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,720.0
2090,Le Blue Goose Studio,4.0,10.0,125.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1250.0
2091,Angelika Design Studio,5.0,22.0,150.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,3300.0
2092,Olive Bauers Interior,5.0,,125.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2093,Ashen+Argyle Interior Design,5.0,4.0,150.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,600.0
2094,JamieLynn's Designs,4.5,26.0,,19103,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2095,HOMEesque,5.0,30.0,,19103,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2096,"Homestead Design Build, Inc",,,,19103,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2097,Andrea Mason Interior Design,5.0,,175.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2098,Lorenzo Cota / Creative - Interior Design Studio,4.5,6.0,125.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,750.0
2099,"iDesign Interiors LLC, Michele Lanko Allied ASID",4.5,30.0,95.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,2850.0
2100,Purgistics,5.0,,75.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2101,"Susan Hopkins Interior Design, LLC",,,,19103,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2102,Ashley Heath Design LLC,4.5,14.0,125.0,19103,hourly,Insulation Installation or Upgrade,Peripheral,Home Improvement,1750.0
2103,LUCA CASA Interior Design Philadelphia,,,,19103,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
2104,Inspired Design by Ele,,,,19103,,Insulation Installation or Upgrade,Peripheral,Home Improvement,
