,Service,Rating,Hires,Price,Zip Code,Price Type,Services,Type,Segments,Implied Revenue
87,SpotOn Services LLC,4.5,98.0,105.0,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,10290.0
88,Top clean services,5.0,3.0,80.0,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,240.0
89,Gladis,5.0,,80.0,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
90,Destined4GreatnessLLC,5.0,38.0,100.0,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,3800.0
91,Impeccable Cleaning Services,5.0,71.0,100.0,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,7100.0
92,Home Maid Clean,4.0,76.0,75.0,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,5700.0
93,Natalie Pressure Washing,5.0,3.0,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
94,Dc clean services,5.0,,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
95,Dania,5.0,12.0,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
96,grimes professional dirt busters,4.5,,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
97,C & F Janitorial Services LLC,,,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
98,Extra Pairs of Hands Cleaning Services,4.5,2.0,100.0,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,200.0
99,Ana’s Cleaning Service,4.0,9.0,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
100,Blazing hands pressure washing services LLC,5.0,,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
101,Syd,,,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
102,All Cleaning,5.0,2.0,80.0,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,160.0
103,Nurian Cruz,,,,70114,,Hot Tub and Spa Repair,Peripheral,Home Improvement,
104,MAC Exteriors,5.0,16.0,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
105,"RoofSmart, LLC",5.0,58.0,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
106,Harvey construction,5.0,,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
107,Big Dogs Roofing,5.0,,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
108,Your Exterior Depot,5.0,2.0,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
109,Affordable Pro Exteriors,4.0,,100.0,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
110,Gutters and More,5.0,26.0,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
111,Haus Roofing and Construction Services,5.0,3.0,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
112,Hawkeye Enterprise,,,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
113,Superstorm Restoration Serving Central Iowa,4.5,12.0,,50309,,Roof Installation or Replacement,Peripheral,Home Improvement,
114,LawnStarter Lawn Care,4.0,848.0,29.0,37219,,Lawn Mower Repair,Peripheral,Home Improvement,24592.0
115,In The Trees Productions (ITTP),5.0,101.0,40.0,37219,,Lawn Mower Repair,Peripheral,Home Improvement,4040.0
116,L&A Lawnz,5.0,,40.0,37219,,Lawn Mower Repair,Peripheral,Home Improvement,
117,Jimenez tree service,5.0,2.0,,37219,,Lawn Mower Repair,Peripheral,Home Improvement,
118,Wilson's Lawn Care,5.0,,43.0,37219,,Lawn Mower Repair,Peripheral,Home Improvement,
119,Antonio's lawn care service,5.0,244.0,150.0,37219,,Lawn Mower Repair,Peripheral,Home Improvement,36600.0
120,Grass Watch,5.0,12.0,,37219,,Lawn Mower Repair,Peripheral,Home Improvement,
121,A.G.’s Lawn Care & Tree Service,5.0,15.0,35.0,37219,,Lawn Mower Repair,Peripheral,Home Improvement,525.0
122,ER Lawn Service,5.0,,,37219,,Lawn Mower Repair,Peripheral,Home Improvement,
123,John Fulton,5.0,24.0,30.0,37219,,Lawn Mower Repair,Peripheral,Home Improvement,720.0
124,Orange Facility Cleaning LLC,5.0,5.0,38.0,37219,,Lawn Mower Repair,Peripheral,Home Improvement,190.0
125,Pleasant Services,,,,37219,,Lawn Mower Repair,Peripheral,Home Improvement,
126,Armour Roofing and Construction,5.0,5.0,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
127,"Cochran Exteriors, LLC",4.0,8.0,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
128,Empire Xteriors,5.0,2.0,350.0,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,700.0
129,Platinum Plus Roofing and Restoration LLC,5.0,13.0,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
130,Blue Ladder Roofing,4.5,5.0,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
131,Berry Builders,5.0,12.0,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
132,Roof Bros,5.0,2.0,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
133,Hoel Roofing & Remodeling,5.0,8.0,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
134,ROYAL AMERICAN EXTERIORS,5.0,,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
135,ALL-STAR CONSTRUCTION LLC,5.0,,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
136,Bourbon Country Roofing LLC,5.0,,,46225,,Roof Installation or Replacement,Peripheral,Home Improvement,
